time,open,high,low,close,tick_volume
1756684800,1.34928,1.34997,1.34917,1.34950,41
1756685700,1.34949,1.35028,1.34949,1.35007,44
1756686600,1.35007,1.35035,1.35006,1.35030,83
1756687500,1.35030,1.35030,1.34981,1.35008,155
1756688400,1.35005,1.35072,1.34996,1.35061,259
1756689300,1.35061,1.35066,1.35048,1.35053,89
1756690200,1.35052,1.35052,1.35042,1.35042,80
1756691100,1.35041,1.35044,1.35017,1.35029,65
1756692000,1.35028,1.35049,1.35021,1.35031,83
1756692900,1.35032,1.35051,1.35022,1.35023,61
1756693800,1.35022,1.35040,1.35019,1.35021,76
1756694700,1.35022,1.35040,1.35001,1.35032,140
1756695600,1.35031,1.35091,1.35024,1.35083,441
1756696500,1.35084,1.35111,1.35080,1.35111,322
1756697400,1.35110,1.35176,1.35105,1.35166,391
1756698300,1.35168,1.35195,1.35166,1.35184,307
1756699200,1.35183,1.35192,1.35104,1.35119,397
1756700100,1.35120,1.35125,1.35084,1.35093,464
1756701000,1.35091,1.35091,1.35054,1.35078,531
1756701900,1.35079,1.35142,1.35078,1.35121,595
1756702800,1.35123,1.35203,1.35122,1.35170,576
1756703700,1.35171,1.35224,1.35164,1.35219,511
1756704600,1.35220,1.35234,1.35192,1.35202,593
1756705500,1.35203,1.35288,1.35180,1.35268,455
1756706400,1.35270,1.35292,1.35234,1.35263,382
1756707300,1.35264,1.35264,1.35215,1.35232,288
1756708200,1.35231,1.35256,1.35214,1.35234,398
1756709100,1.35235,1.35245,1.35198,1.35231,345
1756710000,1.35230,1.35234,1.35200,1.35204,202
1756710900,1.35205,1.35219,1.35184,1.35191,224
1756711800,1.35190,1.35202,1.35169,1.35199,356
1756712700,1.35198,1.35210,1.35179,1.35181,195
1756713600,1.35180,1.35223,1.35172,1.35213,314
1756714500,1.35214,1.35239,1.35211,1.35235,260
1756715400,1.35234,1.35276,1.35210,1.35250,342
1756716300,1.35251,1.35261,1.35231,1.35251,428
1756717200,1.35250,1.35326,1.35234,1.35257,916
1756718100,1.35260,1.35298,1.35228,1.35298,457
1756719000,1.35300,1.35405,1.35298,1.35388,912
1756719900,1.35385,1.35399,1.35296,1.35317,590
1756720800,1.35319,1.35362,1.35215,1.35230,903
1756721700,1.35232,1.35246,1.35202,1.35236,692
1756722600,1.35237,1.35237,1.35152,1.35230,602
1756723500,1.35231,1.35313,1.35230,1.35302,819
1756724400,1.35301,1.35341,1.35244,1.35290,827
1756725300,1.35293,1.35312,1.35268,1.35271,646
1756726200,1.35270,1.35344,1.35266,1.35333,658
1756727100,1.35334,1.35376,1.35331,1.35353,608
1756728000,1.35352,1.35371,1.35278,1.35282,651
1756728900,1.35283,1.35314,1.35239,1.35311,476
1756729800,1.35312,1.35331,1.35287,1.35325,399
1756730700,1.35326,1.35342,1.35299,1.35304,409
1756731600,1.35303,1.35314,1.35265,1.35277,284
1756732500,1.35278,1.35323,1.35266,1.35315,303
1756733400,1.35316,1.35346,1.35257,1.35257,304
1756734300,1.35256,1.35265,1.35234,1.35241,282
1756735200,1.35242,1.35309,1.35242,1.35288,406
1756736100,1.35286,1.35329,1.35276,1.35322,274
1756737000,1.35321,1.35329,1.35266,1.35267,383
1756737900,1.35266,1.35277,1.35227,1.35241,473
1756738800,1.35240,1.35270,1.35240,1.35247,355
1756739700,1.35248,1.35288,1.35241,1.35278,423
1756740600,1.35276,1.35314,1.35247,1.35281,392
1756741500,1.35282,1.35337,1.35274,1.35329,456
