nr,pereche,directie,intrare_jurnal,fix_ore,intrare_utc,durata_min,entry,sl,sl_pips,R_realizat,rezultat,sesiune,ind_MSS,ind_FVG,ind_lichiditate,market,strategie,setup,entry_model,nota
1,GBPUSD,SHORT,2025-11-17 12:48,0,2025-11-17 12:48,65,1.31862,1.31926,6.4,2.0,WIN,London,Great,Good,,Trending,Mss After Mss,,Great,
2,GBPUSD,SHORT,2025-11-18 11:45,0,2025-11-18 11:45,12,1.31441,1.31462,2.1,2.0,WIN,London,"First Mss good, Seco","Good, Mini fvg",,Countertrend,Mss After Mss,,Good,
3,GBPUSD,SHORT,2025-11-18 17:13,0,2025-11-18 17:13,16,1.3146,1.31494,3.4,2.0,WIN,New York,"First Mss good, seco",good fvg,,Ranging,Mss After Mss,,Good,
4,GBPUSD,LONG,2025-09-08 14:30,-3,2025-09-08 11:30,65,1.35287,1.35248,3.9,2.0,WIN,"London, Pre-NY",Great,Good,re-liquidation,Trending,Mss After Mss,re-liquidation entry,Great,
5,GBPUSD,LONG,2025-09-15 12:00,-3,2025-09-15 09:00,30,1.35828,1.35786,4.2,3.0,WIN,London,Great,Good,re-liquidation,Trending,Mss After Mss,re-liquidation entry,Great,
6,GBPUSD,LONG,2025-09-16 12:02,-3,2025-09-16 09:02,-79,1.36307,1.36271,3.6,2.0,WIN,London,Great,Good,re-liquidation,Trending,Mss After Mss,re-liquidation entry,Great,
7,GBPUSD,LONG,2025-09-17 16:38,-3,2025-09-17 13:38,19,1.36539,1.36502,3.7,2.0,WIN,New York,Great,Good,re-liquidation,Trending,Mss After Mss,re-liquidation entry,Great,
8,GBPUSD,LONG,2025-09-22 11:35,-3,2025-09-22 08:35,28,1.35003,1.34953,5.0,-1.0,LOSS,London,Weak,Good,re-liquidation,Countertrend,Mss After Mss,re-liquidation entry,Good,
9,USDJPY,LONG,2026-02-02 08:07,0,2026-02-02 08:07,39,154.869,155.002,1330.0,2.0,WIN,Pre-London,Great,Good,re-liquidation,Trending,Mss After Mss,re-liquidation entry,Great,
10,USDJPY,LONG,2026-02-02 16:14,0,2026-02-02 16:14,47,155.308,155.206,1020.0,2.0,WIN,New York,Great,Good,"2+ liquidities, good liquidity, re-liqui",Trending,Mss After Mss,re-liquidation entry,Great,
11,GBPUSD,SHORT,2025-09-29 17:55,-3,2025-09-29 14:55,23,1.34205,1.34258,5.3,-1.0,LOSS,,,,re-liquidation,,Mss After Mss,re-liquidation entry,,
12,GBPUSD,LONG,2025-10-01 14:07,-3,2025-10-01 11:07,29,1.34754,1.34701,5.3,2.0,WIN,London,Great,Good,re-liquidation,Trending,"Mss After Mss, liqiditate + ",re-liquidation entry,Great,
13,GBPUSD,SHORT,2025-10-01 17:54,-3,2025-10-01 14:54,23,12025.0,1.35195,120236480.5,2.0,WIN,New York,Great,good fvg,re-liquidation,Trending,Mss After Mss,re-liquidation entry,Great,
14,GBPUSD,SHORT,2026-02-03 11:13,-2,2026-02-03 09:13,5,1.36819,1.36867,4.8,-1.0,LOSS,London,Good,Good,re-liquidation,Trending,Mss After Mss,re-liquidation entry,Good,
15,EURAUD,SHORT,2026-02-03 12:06,0,2026-02-03 12:06,55,1.68022,1.68372,35.0,-1.0,LOSS,London,Good,,,Countertrend,Mss After Mss,,Good,
16,GBPUSD,LONG,2026-01-02 11:13,-2,2026-01-02 09:13,82,156.873,156.838,350.0,2.0,WIN,London,Great,Good,,Trending,Mss After Mss,,Good,
17,GBPUSD,LONG,2026-01-02 13:47,0,2026-01-02 13:47,41,1.34557,1.34512,4.5,2.5,WIN,London,Weak,Good,re-liquidation,,Mss After Mss,re-liquidation entry,Good,
18,GBPUSD,LONG,2026-01-05 12:26,0,2026-01-05 12:26,27,1.34673,1.34567,10.6,-1.0,LOSS,London,Good,weak fvg,liqiditate locala,,Mss After Mss,liqiditate locala entry,Good,
19,GBPUSD,SHORT,2026-01-05 18:24,0,2026-01-05 18:24,37,1.35343,1.35413,7.0,-1.0,LOSS,New York,Good,Good,liqiditate majora,,liqiditate + mss,"fvg entry, liqiditate majora entry, mss ",Good,
20,GBPUSD,SHORT,2026-01-06 11:02,0,2026-01-06 11:02,19,1.35326,1.35385,5.9,2.0,WIN,London,Great,Good,re-liquidation,,Mss After Mss,re-liquidation entry,Good,
21,GBPUSD,LONG,2026-02-04 15:52,-2,2026-02-04 13:52,11,1.372,1.37079,12.1,-1.0,LOSS,"New York, Pre-NY",Great,Good,,Trending,Mss After Mss,,Good,
23,USDJPY,LONG,2026-02-04 08:45,0,2026-02-04 08:45,167,156.519,156.266,2530.0,2.0,WIN,"London, Pre-London",Great,Good,re-liquidation,,Mss After Mss,re-liquidation entry,Good,
24,GBPUSD,LONG,2026-01-06 14:00,0,2026-01-06 14:00,9,1.35236,1.35191,4.5,2.0,WIN,London,Great,Good,re-liquidation,,Mss After Mss,re-liquidation entry,Good,
25,NAS100,LONG,2026-02-04 20:57,0,2026-02-04 20:57,49,24953.86,24743.52,2103400.0,2.0,WIN,New York,Great,"Good, Multiple",re-liquidation,,Mss After Mss,re-liquidation entry,Great,
26,NAS100,LONG,2026-01-13 11:55,0,2026-01-13 11:55,95,25752.7,25742.3,104000.0,2.0,WIN,London,Good,,,,Mss After Mss,,Good,
