time,open,high,low,close,tick_volume
1777582800,1.36018,1.36124,1.36009,1.36100,2384
1777583700,1.36099,1.36107,1.36008,1.36052,1997
1777584600,1.36052,1.36102,1.36038,1.36081,2051
1777585500,1.36081,1.36106,1.36040,1.36041,2493
1777586400,1.36040,1.36074,1.36019,1.36060,1965
1777587300,1.36060,1.36086,1.36047,1.36069,901
1777588200,1.36069,1.36094,1.36028,1.36030,1175
1777589100,1.36030,1.36066,1.36006,1.36032,1368
1777590000,1.36040,1.36072,1.36037,1.36060,100
1777590900,1.36069,1.36078,1.36018,1.36023,127
1777591800,1.36024,1.36030,1.36018,1.36026,226
1777592700,1.36028,1.36064,1.36024,1.36050,564
1777593600,1.36078,1.36088,1.36045,1.36046,231
1777594500,1.36045,1.36058,1.36044,1.36052,285
1777595400,1.36054,1.36058,1.36026,1.36036,354
1777596300,1.36036,1.36040,1.36026,1.36038,357
1777597200,1.36038,1.36064,1.36038,1.36053,731
1777598100,1.36052,1.36064,1.36047,1.36057,502
1777599000,1.36058,1.36070,1.36036,1.36037,661
1777599900,1.36037,1.36056,1.36021,1.36021,1032
1777600800,1.36027,1.36051,1.35994,1.36006,2906
1777601700,1.36006,1.36031,1.36001,1.36009,2548
1777602600,1.36009,1.36054,1.36007,1.36036,2076
1777603500,1.36036,1.36065,1.36007,1.36038,2463
1777604400,1.36038,1.36042,1.35998,1.36031,1887
1777605300,1.36031,1.36052,1.35994,1.36034,1920
1777606200,1.36034,1.36072,1.36033,1.36044,1696
1777607100,1.36044,1.36074,1.36032,1.36065,1576
1777608000,1.36064,1.36093,1.36056,1.36071,1280
1777608900,1.36071,1.36093,1.36069,1.36073,869
1777609800,1.36073,1.36090,1.36039,1.36043,1597
1777610700,1.36043,1.36069,1.36009,1.36064,1559
1777611600,1.36065,1.36092,1.36053,1.36091,1493
1777612500,1.36090,1.36121,1.36079,1.36110,1141
1777613400,1.36110,1.36113,1.36040,1.36044,1747
1777614300,1.36044,1.36054,1.36011,1.36025,1306
1777615200,1.36025,1.36049,1.35982,1.36003,1912
1777616100,1.36002,1.36005,1.35961,1.35962,1063
1777617000,1.35962,1.35993,1.35959,1.35977,1054
1777617900,1.35977,1.35984,1.35965,1.35974,609
1777618800,1.35973,1.35981,1.35947,1.35949,880
1777619700,1.35948,1.35952,1.35920,1.35932,972
1777620600,1.35932,1.35953,1.35916,1.35930,1121
1777621500,1.35930,1.35940,1.35886,1.35891,1378
1777622400,1.35892,1.35933,1.35886,1.35901,1691
1777623300,1.35901,1.35936,1.35868,1.35919,1913
1777624200,1.35919,1.35972,1.35889,1.35964,2138
1777625100,1.35964,1.36228,1.35964,1.36109,5550
1777626000,1.36110,1.36140,1.36052,1.36091,5483
1777626900,1.36091,1.36120,1.36058,1.36112,3740
1777627800,1.36112,1.36119,1.36025,1.36079,3494
1777628700,1.36080,1.36148,1.35990,1.36049,3083
1777629600,1.36049,1.36090,1.36008,1.36010,2930
1777630500,1.36010,1.36121,1.36009,1.36081,2179
1777631400,1.36081,1.36102,1.36047,1.36093,1860
1777632300,1.36093,1.36122,1.36060,1.36083,1709
1777633200,1.36084,1.36100,1.36021,1.36024,1971
1777634100,1.36024,1.36036,1.35935,1.35946,1847
1777635000,1.35946,1.36019,1.35941,1.36007,1323
1777635900,1.36007,1.36010,1.35919,1.35932,1572
1777636800,1.35932,1.36059,1.35920,1.36055,1495
1777637700,1.36055,1.36103,1.36054,1.36091,1266
1777638600,1.36091,1.36093,1.36027,1.36049,1536
1777639500,1.36049,1.36085,1.36038,1.36061,1489
1777640400,1.36063,1.36145,1.36061,1.36144,1714
1777641300,1.36143,1.36228,1.36130,1.36194,1827
1777642200,1.36194,1.36209,1.36123,1.36129,1756
1777643100,1.36129,1.36203,1.36082,1.36202,1719
1777644000,1.36202,1.36363,1.36158,1.36317,3516
1777644900,1.36317,1.36432,1.36305,1.36399,3295
1777645800,1.36398,1.36410,1.36314,1.36320,2761
1777646700,1.36320,1.36347,1.36289,1.36299,2236
1777647600,1.36296,1.36368,1.36291,1.36319,2788
1777648500,1.36319,1.36339,1.36255,1.36278,2498
1777649400,1.36277,1.36296,1.36233,1.36253,4374
1777650300,1.36253,1.36398,1.36165,1.36372,5019
1777651200,1.36376,1.36565,1.36363,1.36510,6248
1777652100,1.36510,1.36578,1.36459,1.36498,4684
1777653000,1.36498,1.36499,1.36319,1.36366,4137
1777653900,1.36366,1.36393,1.36176,1.36235,4330
1777654800,1.36235,1.36299,1.36203,1.36293,4466
1777655700,1.36292,1.36305,1.36219,1.36247,2645
1777656600,1.36247,1.36296,1.36206,1.36234,3552
1777657500,1.36235,1.36288,1.36144,1.36193,4386
1777658400,1.36193,1.36222,1.36147,1.36194,3079
1777659300,1.36193,1.36233,1.36080,1.36096,4789
1777660200,1.36096,1.36113,1.36039,1.36057,3304
1777661100,1.36058,1.36060,1.35989,1.35992,2285
1777662000,1.35992,1.36018,1.35960,1.35978,2057
1777662900,1.35978,1.35991,1.35946,1.35964,2188
1777663800,1.35965,1.35966,1.35888,1.35896,2451
1777664700,1.35896,1.35980,1.35887,1.35938,2901
1777665600,1.35938,1.35950,1.35822,1.35833,2985
1777666500,1.35833,1.35844,1.35753,1.35796,2261
1777667400,1.35795,1.35836,1.35763,1.35825,2776
1777668300,1.35825,1.35855,1.35804,1.35825,2350
1777669200,1.35825,1.35835,1.35801,1.35811,1614
1777670100,1.35810,1.35824,1.35800,1.35801,1541
1777671000,1.35801,1.35803,1.35771,1.35775,1656
1777671900,1.35775,1.35782,1.35730,1.35733,1510
1777672800,1.35733,1.35750,1.35723,1.35728,1164
1777673700,1.35729,1.35731,1.35710,1.35712,783
1777674600,1.35712,1.35737,1.35687,1.35723,1338
1777675500,1.35723,1.35775,1.35691,1.35757,2071
1777849200,1.36002,1.36024,1.36002,1.36007,28
1777850100,1.36008,1.36033,1.36002,1.36024,92
1777851000,1.36024,1.36040,1.36021,1.36040,39
1777851900,1.36042,1.36053,1.36012,1.36040,83
1777852800,1.35996,1.36033,1.35901,1.35904,802
1777853700,1.35904,1.35906,1.35844,1.35871,476
1777854600,1.35871,1.35905,1.35866,1.35902,781
1777855500,1.35902,1.35904,1.35869,1.35897,600
1777856400,1.35893,1.35906,1.35871,1.35884,659
1777857300,1.35885,1.35885,1.35851,1.35859,407
1777858200,1.35859,1.35877,1.35813,1.35814,533
1777859100,1.35813,1.35852,1.35801,1.35811,1445
1777860000,1.35811,1.35850,1.35787,1.35820,3041
1777860900,1.35820,1.35833,1.35751,1.35781,2602
1777861800,1.35781,1.35828,1.35773,1.35822,1814
1777862700,1.35823,1.35874,1.35811,1.35868,1835
1777863600,1.35867,1.35873,1.35770,1.35794,2664
1777864500,1.35795,1.35878,1.35765,1.35781,2188
1777865400,1.35781,1.35843,1.35777,1.35830,1740
1777866300,1.35830,1.35849,1.35791,1.35845,1833
1777867200,1.35845,1.35901,1.35820,1.35892,1668
1777868100,1.35892,1.35892,1.35800,1.35802,1619
1777869000,1.35802,1.35844,1.35798,1.35843,1554
1777869900,1.35842,1.35878,1.35838,1.35854,1865
1777870800,1.35850,1.35874,1.35829,1.35855,1639
1777871700,1.35855,1.35865,1.35841,1.35852,1642
1777872600,1.35851,1.35860,1.35826,1.35842,1293
1777873500,1.35842,1.36016,1.35842,1.35978,5823
1777874400,1.35978,1.35991,1.35921,1.35921,2454
1777875300,1.35922,1.35933,1.35869,1.35873,1410
1777876200,1.35873,1.35882,1.35861,1.35867,1182
1777877100,1.35867,1.35884,1.35860,1.35880,1093
1777878000,1.35880,1.35915,1.35863,1.35871,1696
1777878900,1.35872,1.35934,1.35855,1.35869,2253
1777879800,1.35869,1.35904,1.35858,1.35902,1701
1777880700,1.35902,1.35935,1.35891,1.35923,1775
1777881600,1.35922,1.35968,1.35906,1.35960,2335
1777882500,1.35960,1.35986,1.35938,1.35968,2168
1777883400,1.35968,1.35974,1.35826,1.35841,2569
1777884300,1.35840,1.35845,1.35759,1.35809,2704
1777885200,1.35809,1.35810,1.35729,1.35761,3024
1777886100,1.35761,1.35794,1.35688,1.35693,2043
1777887000,1.35693,1.35742,1.35644,1.35672,2130
1777887900,1.35672,1.35717,1.35631,1.35662,2211
1777888800,1.35664,1.35664,1.35593,1.35627,2942
1777889700,1.35627,1.35641,1.35593,1.35615,1957
1777890600,1.35615,1.35674,1.35609,1.35622,1543
1777891500,1.35622,1.35650,1.35601,1.35610,1988
1777892400,1.35611,1.35663,1.35593,1.35617,1890
1777893300,1.35617,1.35626,1.35567,1.35609,1877
1777894200,1.35608,1.35641,1.35600,1.35633,1934
1777895100,1.35633,1.35635,1.35575,1.35591,1841
1777896000,1.35591,1.35599,1.35287,1.35330,5707
1777896900,1.35330,1.35446,1.35234,1.35440,4853
1777897800,1.35441,1.35582,1.35418,1.35512,4662
1777898700,1.35512,1.35534,1.35428,1.35455,2455
1777899600,1.35455,1.35508,1.35378,1.35379,3332
1777900500,1.35379,1.35435,1.35370,1.35431,1979
1777901400,1.35430,1.35432,1.35339,1.35421,2643
1777902300,1.35421,1.35428,1.35378,1.35412,1905
1777903200,1.35412,1.35497,1.35390,1.35488,2633
1777904100,1.35488,1.35620,1.35476,1.35602,3239
1777905000,1.35602,1.35635,1.35553,1.35602,3084
1777905900,1.35602,1.35636,1.35559,1.35573,2735
1777906800,1.35571,1.35664,1.35484,1.35602,5090
1777907700,1.35602,1.35615,1.35524,1.35533,2528
1777908600,1.35533,1.35631,1.35510,1.35600,4427
1777909500,1.35601,1.35660,1.35598,1.35601,3239
1777910400,1.35600,1.35601,1.35502,1.35568,3430
1777911300,1.35567,1.35675,1.35564,1.35656,3477
1777912200,1.35656,1.35694,1.35600,1.35600,2609
1777913100,1.35601,1.35611,1.35529,1.35537,3245
1777914000,1.35536,1.35593,1.35499,1.35527,4293
1777914900,1.35527,1.35580,1.35319,1.35396,6531
1777915800,1.35396,1.35414,1.35297,1.35349,5101
1777916700,1.35349,1.35377,1.35250,1.35328,5183
1777917600,1.35328,1.35365,1.35131,1.35140,5189
1777918500,1.35140,1.35360,1.35123,1.35285,5572
1777919400,1.35285,1.35320,1.35234,1.35234,3976
1777920300,1.35233,1.35268,1.35188,1.35189,3056
1777921200,1.35188,1.35335,1.35188,1.35322,3690
1777922100,1.35323,1.35401,1.35316,1.35382,3851
1777923000,1.35382,1.35400,1.35318,1.35339,2886
1777923900,1.35339,1.35361,1.35318,1.35330,1367
1777924800,1.35329,1.35373,1.35319,1.35331,2602
1777925700,1.35331,1.35333,1.35265,1.35301,2583
1777926600,1.35301,1.35320,1.35293,1.35293,1710
1777927500,1.35293,1.35374,1.35257,1.35372,2450
1777928400,1.35371,1.35415,1.35318,1.35385,3173
1777929300,1.35385,1.35425,1.35358,1.35383,2377
1777930200,1.35383,1.35417,1.35373,1.35386,2166
1777931100,1.35386,1.35402,1.35357,1.35371,2246
1777932000,1.35371,1.35371,1.35308,1.35308,1390
1777932900,1.35308,1.35311,1.35268,1.35303,1339
1777933800,1.35304,1.35328,1.35286,1.35326,1178
1777934700,1.35323,1.35328,1.35309,1.35314,533
1777935600,1.35299,1.35356,1.35269,1.35336,45
1777936500,1.35333,1.35352,1.35252,1.35305,433
1777937400,1.35304,1.35355,1.35276,1.35285,782
1777938300,1.35284,1.35340,1.35276,1.35320,1579
1777939200,1.35320,1.35321,1.35276,1.35279,479
1777940100,1.35279,1.35305,1.35268,1.35293,388
1777941000,1.35293,1.35305,1.35291,1.35304,321
1777941900,1.35304,1.35304,1.35280,1.35281,354
1777942800,1.35282,1.35303,1.35281,1.35294,557
1777943700,1.35294,1.35314,1.35293,1.35305,240
1777944600,1.35305,1.35316,1.35303,1.35315,356
1777945500,1.35314,1.35325,1.35308,1.35313,1003
1777946400,1.35313,1.35349,1.35295,1.35334,2009
1777947300,1.35334,1.35335,1.35243,1.35255,1821
1777948200,1.35254,1.35262,1.35232,1.35243,1031
1777949100,1.35244,1.35291,1.35244,1.35248,1149
1777950000,1.35248,1.35251,1.35218,1.35222,1600
1777950900,1.35222,1.35240,1.35180,1.35201,1508
1777951800,1.35201,1.35268,1.35190,1.35230,1926
1777952700,1.35228,1.35273,1.35225,1.35259,1401
1777953600,1.35259,1.35279,1.35253,1.35257,1400
1777954500,1.35257,1.35308,1.35251,1.35294,1034
1777955400,1.35294,1.35311,1.35285,1.35307,1029
1777956300,1.35306,1.35320,1.35255,1.35260,1482
1777957200,1.35260,1.35270,1.35238,1.35266,1049
1777958100,1.35266,1.35273,1.35250,1.35251,918
1777959000,1.35251,1.35252,1.35220,1.35233,837
1777959900,1.35233,1.35243,1.35211,1.35214,922
1777960800,1.35213,1.35252,1.35210,1.35249,752
1777961700,1.35249,1.35264,1.35242,1.35261,1116
1777962600,1.35261,1.35282,1.35232,1.35240,1643
1777963500,1.35240,1.35240,1.35150,1.35158,1572
1777964400,1.35158,1.35193,1.35138,1.35181,1738
1777965300,1.35182,1.35222,1.35162,1.35194,1459
1777966200,1.35193,1.35253,1.35180,1.35236,2496
1777967100,1.35235,1.35250,1.35178,1.35193,2050
1777968000,1.35192,1.35285,1.35173,1.35261,3255
1777968900,1.35261,1.35274,1.35148,1.35218,2470
1777969800,1.35217,1.35355,1.35214,1.35314,2535
1777970700,1.35318,1.35363,1.35294,1.35313,2643
1777971600,1.35317,1.35403,1.35315,1.35370,3214
1777972500,1.35370,1.35412,1.35358,1.35359,2141
1777973400,1.35360,1.35482,1.35349,1.35411,3496
1777974300,1.35412,1.35429,1.35375,1.35381,2677
1777975200,1.35381,1.35447,1.35377,1.35430,2778
1777976100,1.35430,1.35508,1.35428,1.35471,2308
1777977000,1.35469,1.35490,1.35379,1.35401,2173
1777977900,1.35400,1.35462,1.35387,1.35422,2189
1777978800,1.35421,1.35465,1.35361,1.35401,2980
1777979700,1.35400,1.35410,1.35323,1.35382,2488
1777980600,1.35382,1.35461,1.35381,1.35443,2200
1777981500,1.35443,1.35470,1.35393,1.35421,2240
1777982400,1.35421,1.35433,1.35383,1.35422,1794
1777983300,1.35422,1.35503,1.35410,1.35495,1618
1777984200,1.35494,1.35514,1.35418,1.35430,2364
1777985100,1.35430,1.35463,1.35420,1.35458,1834
1777986000,1.35459,1.35472,1.35358,1.35382,2611
1777986900,1.35382,1.35462,1.35309,1.35451,2276
1777987800,1.35450,1.35472,1.35366,1.35369,2206
1777988700,1.35368,1.35418,1.35349,1.35410,1915
1777989600,1.35410,1.35450,1.35320,1.35424,4341
1777990500,1.35424,1.35499,1.35419,1.35483,2905
1777991400,1.35484,1.35484,1.35399,1.35401,2321
1777992300,1.35402,1.35440,1.35399,1.35439,2555
1777993200,1.35439,1.35574,1.35436,1.35540,3017
1777994100,1.35540,1.35594,1.35508,1.35509,2709
1777995000,1.35511,1.35562,1.35499,1.35503,3390
1777995900,1.35504,1.35582,1.35486,1.35530,3433
1777996800,1.35529,1.35678,1.35509,1.35562,4539
1777997700,1.35563,1.35627,1.35497,1.35593,4791
1777998600,1.35594,1.35660,1.35547,1.35630,3860
1777999500,1.35630,1.35651,1.35542,1.35644,4214
1778000400,1.35645,1.35699,1.35616,1.35676,3566
1778001300,1.35676,1.35681,1.35616,1.35658,3509
1778002200,1.35658,1.35765,1.35633,1.35751,2858
1778003100,1.35751,1.35785,1.35739,1.35739,2535
1778004000,1.35739,1.35763,1.35670,1.35671,2315
1778004900,1.35670,1.35676,1.35618,1.35640,2409
1778005800,1.35641,1.35648,1.35597,1.35619,2191
1778006700,1.35619,1.35639,1.35549,1.35561,2086
1778007600,1.35561,1.35592,1.35493,1.35499,2043
1778008500,1.35499,1.35527,1.35476,1.35495,1673
1778009400,1.35495,1.35553,1.35488,1.35501,2107
1778010300,1.35501,1.35516,1.35491,1.35507,1630
1778011200,1.35507,1.35531,1.35492,1.35509,1502
1778012100,1.35509,1.35518,1.35499,1.35506,1271
1778013000,1.35506,1.35508,1.35460,1.35489,1436
1778013900,1.35489,1.35523,1.35479,1.35489,1246
1778014800,1.35490,1.35509,1.35465,1.35466,1235
1778015700,1.35465,1.35474,1.35438,1.35439,1243
1778016600,1.35439,1.35457,1.35431,1.35432,1022
1778017500,1.35432,1.35446,1.35409,1.35430,1569
1778018400,1.35429,1.35446,1.35420,1.35422,1191
1778019300,1.35415,1.35423,1.35410,1.35419,613
1778020200,1.35419,1.35419,1.35392,1.35397,452
1778021100,1.35397,1.35412,1.35379,1.35384,584
1778022000,1.35447,1.35452,1.35390,1.35394,134
1778022900,1.35398,1.35451,1.35382,1.35434,382
1778023800,1.35432,1.35472,1.35423,1.35439,961
1778024700,1.35439,1.35475,1.35399,1.35410,818
1778025600,1.35416,1.35435,1.35416,1.35423,413
1778026500,1.35423,1.35423,1.35388,1.35398,380
1778027400,1.35398,1.35411,1.35391,1.35409,319
1778028300,1.35409,1.35610,1.35402,1.35574,2268
1778029200,1.35574,1.35778,1.35568,1.35762,2441
1778030100,1.35762,1.35801,1.35708,1.35709,1647
1778031000,1.35709,1.35740,1.35691,1.35692,1232
1778031900,1.35692,1.35715,1.35674,1.35679,1336
1778032800,1.35684,1.35713,1.35662,1.35673,3691
1778033700,1.35672,1.35741,1.35650,1.35687,3071
1778034600,1.35687,1.35770,1.35677,1.35751,2989
1778035500,1.35750,1.35775,1.35729,1.35748,2400
1778036400,1.35748,1.35766,1.35729,1.35739,2644
1778037300,1.35739,1.35803,1.35733,1.35769,2468
1778038200,1.35769,1.35782,1.35728,1.35778,2566
1778039100,1.35778,1.35794,1.35739,1.35741,2200
1778040000,1.35740,1.35782,1.35737,1.35741,2224
1778040900,1.35741,1.35759,1.35703,1.35707,1877
1778041800,1.35707,1.35713,1.35669,1.35671,1273
1778042700,1.35670,1.35696,1.35661,1.35686,1438
1778043600,1.35685,1.35720,1.35680,1.35701,1775
1778044500,1.35701,1.35715,1.35677,1.35683,1566
1778045400,1.35683,1.35715,1.35651,1.35691,1672
1778046300,1.35692,1.35699,1.35639,1.35649,2090
1778047200,1.35649,1.35659,1.35634,1.35654,1306
1778048100,1.35653,1.35792,1.35636,1.35789,2468
1778049000,1.35791,1.35938,1.35780,1.35833,5963
1778049900,1.35833,1.35958,1.35815,1.35894,5352
1778050800,1.35894,1.35916,1.35872,1.35881,3631
1778051700,1.35881,1.35882,1.35831,1.35872,2615
1778052600,1.35872,1.35888,1.35840,1.35844,1538
1778053500,1.35844,1.35868,1.35833,1.35864,1795
1778054400,1.35866,1.35886,1.35822,1.35848,3155
1778055300,1.35848,1.35903,1.35834,1.35872,2382
1778056200,1.35872,1.35877,1.35812,1.35851,2948
1778057100,1.35850,1.35902,1.35849,1.35891,2562
1778058000,1.35891,1.35930,1.35843,1.35847,3453
1778058900,1.35846,1.35908,1.35836,1.35898,2714
1778059800,1.35898,1.35915,1.35840,1.35902,2784
1778060700,1.35901,1.35994,1.35898,1.35988,3680
1778061600,1.35988,1.36023,1.35929,1.35930,4046
1778062500,1.35930,1.36020,1.35921,1.36006,2643
1778063400,1.36006,1.36143,1.36006,1.36114,3019
1778064300,1.36114,1.36346,1.36109,1.36259,6021
1778065200,1.36259,1.36282,1.36139,1.36175,4054
1778066100,1.36175,1.36253,1.36166,1.36232,3584
1778067000,1.36232,1.36291,1.36199,1.36234,3471
1778067900,1.36234,1.36272,1.36212,1.36260,3449
1778068800,1.36261,1.36284,1.36163,1.36164,3716
1778069700,1.36164,1.36190,1.36138,1.36176,3322
1778070600,1.36176,1.36277,1.36160,1.36270,3369
1778071500,1.36270,1.36436,1.36227,1.36372,5267
1778072400,1.36372,1.36417,1.36269,1.36303,4341
1778073300,1.36302,1.36422,1.36296,1.36380,3503
1778074200,1.36381,1.36414,1.36262,1.36282,3801
1778075100,1.36282,1.36296,1.36202,1.36235,4091
1778076000,1.36235,1.36242,1.36082,1.36113,4537
1778076900,1.36112,1.36214,1.36079,1.36192,4852
1778077800,1.36194,1.36227,1.36119,1.36164,3506
1778078700,1.36164,1.36166,1.36090,1.36117,3515
1778079600,1.36117,1.36174,1.36024,1.36108,5415
1778080500,1.36108,1.36141,1.36050,1.36051,3757
1778081400,1.36051,1.36125,1.36008,1.36060,5074
1778082300,1.36061,1.36109,1.36041,1.36078,4308
1778083200,1.36078,1.36091,1.36027,1.36032,4299
1778084100,1.36032,1.36048,1.35989,1.36003,3497
1778085000,1.36003,1.36180,1.35996,1.36179,4106
1778085900,1.36179,1.36196,1.36039,1.36040,4426
1778086800,1.36040,1.36043,1.35941,1.35955,3876
1778087700,1.35955,1.36014,1.35955,1.35995,3414
1778088600,1.35998,1.36045,1.35974,1.36008,3299
1778089500,1.36009,1.36029,1.35940,1.35956,3123
1778090400,1.35954,1.35963,1.35845,1.35914,2989
